source_coords,dest1_coords,dest2_coords,source_D1_distance(in miles),source_D1_time(in minutes),source_D2_distance(in miles),source_D2_time(in minutes),total_shared_distance,total_shared_time,Matched_NoMatched
"(-73.785924, 40.645134)","(-73.50416565, 40.72386169)", ,21.01000,26.420, , ,,,"(-73.50416565, 40.72386169):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.59876251, 40.66880798)","(-73.71291351, 40.63681412)",12.78000,17.040,7.18000,11.390,15.70000,18.860,Matched
"(-73.785924, 40.645134)","(-73.61265564, 40.7833786)","(-73.86634827, 40.77128983)",17.56000,25.950,11.90000,16.780,24.87500,32.990,Matched
"(-73.785924, 40.645134)","(-73.6126709, 40.78338623)", ,17.56000,25.950, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.86634827, 40.77128983)']"
"(-73.785924, 40.645134)","(-73.65190887, 40.69399643)", ,10.93000,14.600, , ,,,"(-73.65190887, 40.69399643):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.65246582, 40.78062057)", ,15.89000,21.160, , ,,,"(-73.65246582, 40.78062057):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.67498779, 40.58443451)", ,12.19000,18.330, , ,,,"(-73.67498779, 40.58443451):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.67539215, 40.76790237)", ,15.12000,20.690, , ,,,"(-73.67539215, 40.76790237):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.67971039, 40.72925186)", ,11.61000,15.530, , ,,,"(-73.67971039, 40.72925186):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.68055725, 40.7105217)","(-73.97219849, 40.79576874)",9.50000,14.160,20.30000,30.460,16.58000,38.740,Matched
"(-73.785924, 40.645134)","(-73.68244934, 40.73498535)", ,11.31000,15.240, , ,,,"(-73.68244934, 40.73498535):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.69335938, 40.64389801)", ,8.11000,11.600, , ,,,"(-73.69335938, 40.64389801):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.69408417, 40.73365402)","(-74.03071594, 40.72745514)",10.81000,14.610,16.35000,29.720,18.11500,34.140,Matched
"(-73.785924, 40.645134)","(-73.69441986, 40.79611969)", ,15.97000,22.960, , ,,,"(-73.69441986, 40.79611969):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.7009964, 40.67609787)","(-73.99383545, 40.73270798)",7.95000,10.620,15.58000,28.300,13.26000,30.260,Matched
"(-73.785924, 40.645134)","(-73.70161438, 40.69246292)", ,7.99000,12.340, , ,,,"(-73.70161438, 40.69246292):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.70532227, 40.84545135)", ,21.14000,32.060, , ,,,"(-73.70532227, 40.84545135):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.70625305, 40.71223068)","(-73.77986908, 40.66662598)",8.29000,12.540,3.51000,5.470,9.78000,12.680,Matched
"(-73.785924, 40.645134)","(-73.70739746, 40.63808823)","(-74.00244141, 40.7350502)",8.16000,11.880,16.00000,29.860,14.10000,32.100,Matched
"(-73.785924, 40.645134)","(-73.71120453, 40.67738724)", ,7.56000,10.290, , ,,,"(-73.71120453, 40.67738724):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.71652985, 40.72963333)","(-74.00473022, 40.74796677)",9.55000,12.800,19.08000,28.930,15.95000,30.790,Matched
"(-73.785924, 40.645134)","(-73.71658325, 40.72807693)","(-73.93386078, 40.85657501)",9.47000,12.500,21.50000,29.980,15.72000,30.110,Matched
"(-73.785924, 40.645134)","(-73.72074127, 40.74182892)", ,10.38000,13.600, , ,,,"(-73.72074127, 40.74182892): D2: (-73.95075989, 40.77834702)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.72169495, 40.78740692)", ,14.51000,21.100, , ,,,"(-73.72169495, 40.78740692):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.72494507, 40.73579788)", ,9.83000,13.110, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.77986908, 40.66662598)']"
"(-73.785924, 40.645134)","(-73.72535706, 40.6905365)","(-73.76256561, 40.68452072)",6.61000,9.100,4.40000,7.650,8.95000,11.120,Matched
"(-73.785924, 40.645134)","(-73.72745514, 40.66999054)","(-73.95275116, 40.7834816)",5.43000,8.050,19.32000,27.680,9.45500,27.990,Matched
"(-73.785924, 40.645134)","(-73.733078, 40.65164566)", ,5.86000,10.580, , ,,,"(-73.733078, 40.65164566):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.73350525, 40.70396805)","(-74.00508881, 40.72294998)",8.06000,11.710,15.60000,26.580,13.91500,29.180,Matched
"(-73.785924, 40.645134)","(-73.7338562, 40.94774246)","(-73.73773956, 40.68690872)",25.98000,38.260,6.02000,9.280,25.15000,32.580,Matched
"(-73.785924, 40.645134)","(-73.7363739, 40.71504974)","(-73.96382904, 40.76486588)",8.72000,11.650,17.45000,25.080,14.54500,27.080,Matched
"(-73.785924, 40.645134)","(-73.73644257, 40.68632126)", ,6.10000,9.410, , ,,,"(-73.73644257, 40.68632126):Passenger constraint not satisfied for trip"
"(-73.785924, 40.645134)","(-73.73736572, 40.68689346)","(-73.98417664, 40.74333954)",6.06000,9.450,18.12000,26.780,10.78500,26.490,Matched
"(-73.785924, 40.645134)","(-73.73832703, 40.61838913)", ,6.46000,9.060, , ,,,"(-73.73832703, 40.61838913):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.7399826, 40.67496872)","(-73.9240799, 40.62028122)",5.75000,8.160,13.14000,17.970,9.83000,22.200,Matched
"(-73.785924, 40.645134)","(-73.74138641, 40.61179352)", ,7.05000,9.830, , ,,,"(-73.74138641, 40.61179352):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.74158478, 40.71422577)","(-74.18287659, 40.68789291)",8.93000,12.010,29.94000,40.660,14.93500,46.580,Matched
"(-73.785924, 40.645134)","(-73.74192047, 40.70278168)", ,6.30000,10.300, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.99383545, 40.73270798)']"
"(-73.785924, 40.645134)","(-73.74349213, 40.71950912)","(-73.75171661, 40.68528366)",8.00000,12.540,5.12000,7.980,11.39000,11.110,Matched
"(-73.785924, 40.645134)","(-73.74351501, 40.6396904)","(-73.91670227, 40.75497055)",4.78000,7.240,14.96000,20.300,8.40000,22.700,Matched
"(-73.785924, 40.645134)","(-73.74607086, 40.66344833)","(-73.9533844, 40.75811768)",4.26000,6.430,16.99000,27.380,7.47500,23.630,Matched
"(-73.785924, 40.645134)","(-73.74612427, 40.65332031)", ,5.46000,8.800, , ,,,"(-73.74612427, 40.65332031):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.74652863, 40.6970787)", ,5.89000,8.770, , ,,,"(-73.74652863, 40.6970787):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.74675751, 40.71390915)", ,7.62000,11.720, , ,,,"(-73.74675751, 40.71390915):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.74902344, 40.69298172)","(-73.97854614, 40.77223969)",5.69000,9.040,18.44000,27.130,10.21000,25.910,Matched
"(-73.785924, 40.645134)","(-73.74951935, 40.67577362)","(-73.98010254, 40.78899384)",4.75000,7.880,19.88000,30.780,8.69000,27.640,Matched
"(-73.785924, 40.645134)","(-73.75328827, 40.70755768)","(-73.98069, 40.72796249)",6.78000,10.560,14.88000,26.150,12.06000,25.280,Matched
"(-73.785924, 40.645134)","(-73.75437164, 40.66233063)","(-74.02493286, 40.62381744)",4.09000,6.190,20.33000,25.010,7.18500,26.740,Matched
"(-73.785924, 40.645134)","(-73.75619507, 40.69025421)","(-73.97811127, 40.78912354)",4.96000,8.650,19.90000,30.410,9.28500,24.550,Matched
"(-73.785924, 40.645134)","(-73.7564621, 40.67232895)","(-74.02236176, 40.76279068)",4.04000,6.150,19.27000,29.460,7.11500,24.600,Matched
"(-73.785924, 40.645134)","(-73.75675201, 40.74108124)","(-73.77153778, 40.68093872)",9.94000,15.680,4.30000,7.430,12.14000,14.020,Matched
"(-73.785924, 40.645134)","(-73.75695038, 40.66144943)","(-74.10870361, 40.63327408)",3.95000,6.630,25.48000,34.410,7.26500,32.310,Matched
"(-73.785924, 40.645134)","(-73.75974274, 40.67005539)","(-73.99242401, 40.75652313)",3.70000,6.780,18.46000,27.500,7.09000,24.120,Matched
"(-73.785924, 40.645134)","(-73.76002502, 40.66749191)","(-73.9677124, 40.79446793)",3.80000,6.090,19.99000,29.960,6.84500,24.780,Matched
"(-73.785924, 40.645134)","(-73.76122284, 40.6778183)", ,3.98000,6.460, , ,,,"(-73.76122284, 40.6778183): D2: (-73.98458862, 40.78103638)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.76280212, 40.68795013)","(-74.0161438, 40.70502853)",4.67000,7.780,16.05000,28.040,8.56000,23.480,Matched
"(-73.785924, 40.645134)","(-73.76882172, 40.68149185)","(-73.96833801, 40.62595749)",4.46000,7.490,14.16000,22.760,8.20500,21.360,Matched
"(-73.785924, 40.645134)","(-73.76891327, 40.69947052)","(-73.79402924, 40.65670776)",5.64000,9.630,1.58000,4.880,6.39500,9.400,Matched
"(-73.785924, 40.645134)","(-73.76901245, 40.70062256)", ,5.74000,9.900, , ,,,"(-73.76901245, 40.70062256):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.76907349, 40.6750679)", ,4.00000,7.340, , ,,,"(-73.76907349, 40.6750679):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.77290344, 40.78184128)", ,12.81000,20.060, , ,,,"(-73.77290344, 40.78184128):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.77322388, 40.71449661)","(-73.77875519, 40.6892662)",8.07000,12.310,5.22000,8.560,11.37500,11.640,Matched
"(-73.785924, 40.645134)","(-73.7749939, 40.78328323)", ,12.89000,20.130, , ,,,"(-73.7749939, 40.78328323):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.77633667, 40.76247025)","(-73.78339386, 40.64374542)",11.15000,16.620,1.08000,3.940,9.39000,15.050,Matched
"(-73.785924, 40.645134)","(-73.77636719, 40.6450882)","(-73.96252441, 40.76465988)",0.61000,1.760,17.55000,25.330,1.49000,19.250,Matched
"(-73.785924, 40.645134)","(-73.77639771, 40.64530563)","(-73.99105072, 40.7503891)",0.62000,1.810,18.04000,25.940,1.52500,19.770,Matched
"(-73.785924, 40.645134)","(-73.77649689, 40.64514923)","(-74.20775604, 40.73974609)",0.61000,1.760,29.94000,40.660,1.49000,31.790,Matched
"(-73.785924, 40.645134)","(-73.77667236, 40.66453171)","(-74.02871704, 40.6170845)",3.05000,5.320,19.94000,24.140,5.71000,24.000,Matched
"(-73.785924, 40.645134)","(-73.77681732, 40.64593124)","(-73.9810791, 40.76448441)",0.63000,1.840,18.19000,26.610,1.55000,19.890,Matched
"(-73.785924, 40.645134)","(-73.77787781, 40.74337006)","(-73.79338837, 40.65686035)",9.63000,14.470,1.67000,5.210,8.90500,14.000,Matched
"(-73.785924, 40.645134)","(-73.77867889, 40.72608185)", ,9.26000,13.810, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.77667236, 40.66453171)']"
"(-73.785924, 40.645134)","(-73.77885437, 40.73575592)", ,9.60000,14.950, , ,,,"(-73.77885437, 40.73575592):Not present in PreComputed rows or does not have angle <= 30"
